age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,cons.price.idx,cons.conf.idx,subscribed
56,4,2,1,0,0,0,2,5,1,261.0,1,93.994,-36.4,0
37,8,2,4,0,1,0,2,5,1,226.0,1,93.994,-36.4,0
40,1,2,2,0,0,0,2,5,1,151.0,1,93.994,-36.4,0
56,8,2,4,0,0,1,2,5,1,307.0,1,93.994,-36.4,0
59,1,2,6,0,0,0,2,5,1,139.0,1,93.994,-36.4,0
24,10,3,6,0,1,0,2,5,1,380.0,1,93.994,-36.4,0
25,8,3,4,0,1,0,2,5,1,50.0,1,93.994,-36.4,0
25,8,3,4,0,1,0,2,5,1,222.0,1,93.994,-36.4,0
29,2,3,4,0,0,1,2,5,1,137.0,1,93.994,-36.4,0
57,4,1,1,0,1,0,2,5,1,293.0,1,93.994,-36.4,0
35,2,2,2,0,1,0,2,5,1,146.0,1,93.994,-36.4,0
35,2,2,2,0,1,0,2,5,1,312.0,1,93.994,-36.4,0
50,2,2,3,0,1,1,2,5,1,353.0,1,93.994,-36.4,0
30,11,2,4,0,0,0,2,5,1,38.0,1,93.994,-36.4,0
55,6,3,4,0,1,0,2,5,1,342.0,1,93.994,-36.4,0
41,10,3,4,0,1,0,2,5,1,181.0,1,93.994,-36.4,0
37,1,2,4,0,1,0,2,5,1,172.0,1,93.994,-36.4,0
35,10,2,7,0,0,1,2,5,1,99.0,1,93.994,-36.4,0
59,10,2,5,0,1,0,2,5,1,93.0,1,93.994,-36.4,0
46,1,2,5,0,0,0,2,5,1,348.0,1,93.994,-36.4,0
59,10,2,5,0,1,0,2,5,1,386.0,1,93.994,-36.4,0
49,2,2,5,0,0,0,2,5,1,73.0,1,93.994,-36.4,0
54,2,1,1,0,0,0,2,5,1,208.0,1,93.994,-36.4,0
34,8,2,4,0,0,0,2,5,1,365.0,1,93.994,-36.4,0
52,10,2,3,0,1,0,2,5,1,1666.0,1,93.994,-36.4,0
41,1,2,7,0,1,0,2,5,1,577.0,1,93.994,-36.4,0
56,10,2,1,0,1,0,2,5,1,137.0,1,93.994,-36.4,0
58,5,3,7,0,1,0,2,5,1,366.0,1,93.994,-36.4,0
32,3,2,4,0,1,0,2,5,1,314.0,1,93.994,-36.4,0
38,1,3,6,0,0,0,2,5,1,160.0,1,93.994,-36.4,0
57,1,2,7,0,0,1,2,5,1,212.0,1,93.994,-36.4,0
57,1,2,7,0,1,1,2,5,1,616.0,1,93.994,-36.4,0
40,2,2,3,0,0,1,2,5,1,178.0,1,93.994,-36.4,0
35,1,2,7,0,1,0,2,5,1,355.0,1,93.994,-36.4,0
45,2,2,3,0,1,0,2,5,1,225.0,2,93.994,-36.4,0
54,1,2,4,0,0,0,2,5,1,160.0,1,93.994,-36.4,0
39,4,2,1,0,0,1,2,5,1,266.0,1,93.994,-36.4,0
60,1,2,4,0,0,0,2,5,1,253.0,1,93.994,-36.4,0
53,1,3,6,0,0,0,2,5,1,179.0,1,93.994,-36.4,0
25,10,3,7,0,1,0,2,5,1,174.0,1,93.994,-36.4,0
51,2,2,3,0,1,0,2,5,1,812.0,1,93.994,-36.4,0
48,1,2,4,0,0,0,2,5,1,357.0,1,93.994,-36.4,0
37,1,2,7,0,0,0,2,5,1,232.0,1,93.994,-36.4,0
44,2,3,3,0,1,0,2,5,1,91.0,1,93.994,-36.4,0
33,1,2,5,0,1,0,2,5,1,273.0,1,93.994,-36.4,0
56,1,2,3,0,1,0,2,5,1,158.0,2,93.994,-36.4,0
41,5,2,2,0,0,0,2,5,1,200.0,1,93.994,-36.4,0
44,5,1,7,0,1,0,2,5,1,172.0,1,93.994,-36.4,0
55,10,2,7,0,0,0,2,5,1,349.0,1,93.994,-36.4,0
31,1,1,4,0,0,0,2,5,1,246.0,1,93.994,-36.4,0
41,5,2,2,0,0,0,2,5,1,529.0,2,93.994,-36.4,0
39,1,2,7,0,1,1,2,5,1,192.0,1,93.994,-36.4,0
49,10,2,3,0,0,0,2,5,1,1467.0,1,93.994,-36.4,1
34,1,2,4,0,1,0,2,5,1,188.0,2,93.994,-36.4,0
35,1,2,7,0,1,0,2,5,1,180.0,2,93.994,-36.4,0
33,11,2,3,0,0,0,2,5,1,545.0,1,93.994,-36.4,0
42,2,2,2,0,0,1,2,5,1,583.0,1,93.994,-36.4,0
45,8,2,6,0,1,0,2,5,1,221.0,1,93.994,-36.4,0
42,5,2,7,0,0,0,2,5,1,426.0,1,93.994,-36.4,0
37,10,3,6,0,0,0,2,5,1,197.0,1,93.994,-36.4,0
44,2,2,2,0,0,0,2,5,1,257.0,1,93.994,-36.4,0
54,8,2,5,0,1,0,2,5,1,229.0,1,93.994,-36.4,0
49,2,2,1,0,0,0,2,5,1,55.0,3,93.994,-36.4,0
54,8,2,5,0,0,0,2,5,1,400.0,1,93.994,-36.4,0
52,1,1,7,0,0,0,2,5,1,197.0,1,93.994,-36.4,0
52,1,1,7,0,0,0,2,5,1,190.0,1,93.994,-36.4,0
34,4,2,2,0,1,0,2,5,1,300.0,2,93.994,-36.4,0
35,1,2,4,0,1,0,2,5,1,123.0,2,93.994,-36.4,0
35,8,1,4,0,1,0,2,5,1,194.0,1,93.994,-36.4,0
37,5,2,7,0,0,0,2,5,1,337.0,2,93.994,-36.4,0
36,2,2,4,0,0,0,2,5,1,286.0,1,93.994,-36.4,0
52,1,1,7,0,0,0,2,5,1,247.0,2,93.994,-36.4,0
56,1,2,5,0,1,0,2,5,1,364.0,1,93.994,-36.4,0
49,2,1,4,0,0,0,2,5,1,439.0,1,93.994,-36.4,0
41,8,2,4,0,0,0,2,5,1,139.0,1,93.994,-36.4,0
45,10,2,4,0,1,0,2,5,1,79.0,1,93.994,-36.4,0
32,1,2,7,0,1,1,2,5,1,175.0,1,93.994,-36.4,0
42,1,2,7,0,0,1,2,5,1,262.0,2,93.994,-36.4,0
50,1,2,2,0,0,0,2,5,1,61.0,1,93.994,-36.4,0
